Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8612/0134|2021-05-05 09:52:04|г Киров,улица Воровского, дом 78|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8612/0139|2021-05-05 09:52:04|г Киров,улица Московская, дом 171|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8612/014|2021-06-07 13:59:12|г Киров,улица Павла Корчагина, дом 60|ПН-ПТ 09:00-18:00, СБ 08:30-12:30, ВС выходной
8612/0147|2020-09-28 03:14:25|г Киров,улица Риммы Юровской, дом 11|ПН-ПТ 08:30-19:00, СБ выходной, ВС 09:00-14:00
8612/015|2021-06-07 13:59:12|г Киров,улица Ленина, дом 13А|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8612/0150|2021-05-12 12:42:08|г Киров,улица Некрасова, дом 42|ПН-ПТ 08:30-19:00, СБ выходной, ВС 08:30-14:00
8612/0151|2020-09-28 03:14:25|г Киров,улица Сутырина, дом 12|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8612/0153|2020-09-28 03:14:25|г Киров,улица Советская, дом 39|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8612/0158|2020-09-28 03:14:25|г Киров,улица Карла Маркса, дом 23|ПН-ПТ 08:30-19:00, СБ 09:00-14:30, ВС выходной
8612/0159|2021-06-21 15:42:19|г Киров,улица Воровского, дом 104Б|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8612/0161|2020-12-24 14:56:43|Кировская область, Кирово-Чепецкий район , с Пасегово,улица Школьная, дом 12|ПН 08:30-18:00, ВТ выходной, СР-ПТ 08:30-18:00, СБ-ВС выходной
8612/0162|2020-09-28 03:14:25|г Киров,улица Комсомольская, дом 21|ПН-ПТ 08:30-18:30, СБ 09:00-15:30, ВС выходной
8612/0165|2020-09-28 03:14:25|г Киров,улица Лепсе, дом 4/2|ПН-ПТ 08:30-18:00, СБ 09:00-12:30, ВС выходной
8612/0166|2021-02-24 17:08:35|Кировская область, пгт Оричи,улица Карла Маркса, дом 14|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8612/0170|2021-03-30 18:30:18|Кировская область, Оричевский район , пгт Стрижи,улица Рабочая, дом 1|ПН выходной, ВТ-ПТ 08:00-17:00, СБ 08:30-14:00, ВС выходной
8612/0172|2021-03-30 18:30:18|Кировская обл., пгт. Мирный, улица Ленина, 33А|ПН выходной, ВТ-ПТ 08:30-17:00, СБ 08:30-14:00, ВС выходной
8612/0175|2020-09-28 03:14:25|г Киров,улица Производственная, дом 10|ПН-ПТ 09:00-18:30, СБ-ВС выходной
8612/0200|2021-06-07 13:59:12|Кировская область,город Слободской,улица Ст.Халтурина, зд 12|ПН-ПТ 08:00-18:30, СБ 09:00-12:30, ВС выходной
8612/0201|2021-05-05 09:52:04|Кировская область,город Слободской, проспект Гагарина, дом 1|ПН-ПТ 08:00-17:30, СБ-ВС выходной
8612/0205|2021-08-17 12:37:17|Кировская область, Слободской район , пгт Вахруши,улица Кирова, дом 22|ПН-ПТ 08:00-17:30, СБ-ВС выходной
8612/0218|2021-06-07 13:59:12|Кировская область, пгт Юрья,улица Ленина, дом 23|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8612/0219|2021-05-12 12:42:08|Кировская область, Юрьянский район , пгт Мурыгино,улица Набережная, дом 3|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8612/0220|2021-03-30 18:30:18|Кировская область, пгт Первомайский,улица Волкова, дом 17|ПН-ПТ 09:15-18:00, СБ-ВС выходной
8612/0221|2021-03-30 18:30:18|Кировская область,город Мураши,улица Пугачева 2|ПН-ПТ 08:30-17:00, СБ 08:30-13:00, ВС выходной
8612/0250|2021-02-24 17:08:49|Кировская область,город Луза,улица Ленина, дом 47|ПН-ПТ 08:30-17:30, СБ 09:00-12:00, ВС выходной
8612/0261|2020-12-24 14:56:43|обл Кировская, район Опаринский, пгт Опарино,улица Октябрьская, 15б|ПН-ПТ 08:15-17:00, СБ-ВС выходной
8612/0300|2021-02-24 17:08:50|Кировская область,город Котельнич,улица Советская, дом 108|ПН-ПТ 08:00-18:00, СБ 08:30-14:00, ВС выходной
8612/0308|2021-08-17 12:37:17|Кировская область, пгт Свеча,улица Карла Маркса, дом 8|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8612/031|2021-06-07 13:59:12|г Киров,улица Ленина, дом 6|ПН-ПТ 09:00-18:30, СБ 09:30-14:00, ВС выходной
8612/0312|2021-08-17 12:37:17|Кировская область, пгт Ленинское,улица Гагарина, дом 69|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8612/033|2020-09-28 03:14:25|г Киров,улица Московская, дом 134|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной
8612/0350|2021-03-30 18:30:21|Кировская область,город Советск,улица Ленина, дом 29А|ПН-ПТ 08:00-17:30, СБ 08:00-12:30, ВС выходной
8612/0364|2021-02-24 17:08:37|Кировская область,город Яранск,улица Ленина, дом 40А|ПН-ПТ 08:00-17:00, СБ 08:00-12:30, ВС выходной
8612/0400|2021-02-24 17:08:55|Кировская область,город Вятские Поляны,улица Азина, дом 47|ПН-ПТ 08:30-18:30, СБ 08:30-13:00, ВС выходной
8612/0402|2021-02-24 17:08:55|Кировская область,город Вятские Поляны,улица Урицкого, дом 55|ПН-ПТ 08:00-17:00, СБ 08:00-12:30, ВС выходной
8612/0405|2021-06-07 13:59:12|Кировская область, Вятскополянский район ,город Сосновка,улица Комсомольская, дом 6А|ПН-ПТ 08:30-17:00, СБ 09:00-12:00, ВС выходной
8612/0412|2021-06-07 13:59:12|Кировская область,город Малмыж,улица Урицкого, дом 3|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8612/0450|2021-06-07 13:59:12|Кировская область,город Уржум,улица Рокина, дом 23|ПН-ПТ 08:00-17:00, СБ 09:00-11:30, ВС выходной
8612/0459|2021-06-07 13:59:11|Кировская область, пгт Кильмезь,улица Советская, дом 75|ПН-ПТ 08:00-17:00, СБ 08:30-11:00, ВС выходной
8612/0463|2021-03-30 18:30:21|Кировская область,город Нолинск,улица Спартака, дом 21|ПН-ПТ 08:00-17:30, СБ 08:30-11:30, ВС выходной
8612/050|2020-09-28 03:14:25|г Киров,улица Правды, дом 4|ПН-ПТ 08:30-18:30, СБ 09:00-13:00, ВС выходной
8612/0500|2021-02-24 17:08:51|Кировская область,город Кирово-Чепецк, проспект Мира, дом 34|ПН-ПТ 08:30-18:30, СБ 08:30-14:30, ВС выходной
8612/0501|2021-02-24 17:08:51|Кировская область,город Кирово-Чепецк,улица Луначарского, дом 9|ПН-ПТ 09:00-17:30, СБ 10:00-13:30, ВС выходной
8612/0502|2021-06-07 13:59:11|Кировская область,город Кирово-Чепецк,улица 60 лет Октября, дом 17А|ПН-ПТ 09:00-17:15, СБ 10:00-13:45, ВС выходной
8612/0512|2021-05-12 12:42:08|Кировская область, пгт Кумены,улица Лесная, дом 3А|ПН-ПТ 08:30-17:00, СБ 09:00-12:00, ВС выходной
8612/0521|2021-03-30 18:30:18|Кировская область, пгт Богородское,улица 1 Мая, дом 8|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8612/0522|2021-02-24 17:08:53|Кировская область,город Зуевка,улица Исполкомовская, дом 87|ПН-ПТ 08:00-17:00, СБ 09:00-12:30, ВС выходной
8612/0600|2021-06-07 13:59:11|Кировская область,город Омутнинск,улица Свободы, дом 11|ПН-ПТ 08:30-18:00, СБ 08:30-14:00, ВС выходной
8612/0609|2021-03-30 18:30:22|Кировская область,город Кирс,улица Слободская, дом 16|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8612/0615|2021-06-07 13:59:11|Кировская область, пгт Афанасьево,улица Красных Партизан, дом 28|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8612/064|2021-06-07 13:59:11|г Киров, мкр Радужный, проспект Строителей, дом 5|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8612/0650|2021-06-07 13:59:11|Кировская область,город Белая Холуница,улица Глазырина, дом 2А|ПН-ПТ 08:00-17:30, СБ 09:00-12:00, ВС выходной
8612/069|2021-05-12 12:42:08|г Киров,улица Воровского, дом 37|ПН-ПТ 08:30-19:00, СБ 09:00-14:30, ВС выходной
8612/0700|2020-09-28 03:14:25|г Киров,улица Дерендяева, дом 25|ПН-ПТ 08:30-18:30, СБ 09:00-14:30, ВС выходной
8613/01|2020-09-28 03:14:22|г Чебоксары, проспект И.Я.Яковлева, дом 3А|ПН-ПТ 08:00-18:00, СБ-ВС выходной
8613/010|2021-05-05 09:52:04|г Чебоксары, проспект Ленина, дом 28|ПН-ПТ 08:30-19:00, СБ выходной, ВС 08:30-16:30
8613/0100|2021-02-01 14:11:43|Чувашская Республика - Чувашия,город Новочебоксарск,улица Винокурова, влд 51|ПН-ПТ 08:30-19:00, СБ 08:30-14:30, ВС выходной
8613/0101|2021-02-01 14:11:43|Чувашская Республика - Чувашия,город Новочебоксарск,улица Винокурова, дом 20|ПН-ПТ 08:30-19:00, СБ 08:30-15:30, ВС выходной
8613/0105|2021-08-17 12:37:17|Чувашская Республика - Чувашия,город Новочебоксарск,улица Советская, дом 15|ПН-ПТ 08:00-18:30, СБ 08:30-14:00, ВС выходной
8613/0107|2021-05-12 12:42:08|Чувашская Республика - Чувашия,город Новочебоксарск,улица 10 Пятилетки, дом 31|ПН-ПТ 08:00-18:30, СБ 08:30-15:30, ВС выходной
8613/0108|2021-05-12 12:42:07|Чувашская Республика - Чувашия,город Новочебоксарск,улица Строителей, дом 16|ПН-ПТ 08:00-18:30, СБ 08:30-14:30, ВС выходной
8613/011|2021-08-17 12:37:17|г Чебоксары,улица Энтузиастов, дом 23|ПН-ПТ 08:00-19:00, СБ 09:00-15:00, ВС выходной
8613/0111|2021-08-17 12:37:17|Чувашская Республика - Чувашия, п Кугеси,улица Советская, дом 23|ПН-ПТ 08:00-17:00, СБ 08:00-12:00, ВС выходной
8613/013|2020-09-28 03:14:22|г Чебоксары,улица Гузовского, дом 17|ПН-ПТ 08:00-18:00, СБ 08:00-16:00, ВС выходной
8613/014|2021-05-05 09:52:04|г Чебоксары,улица Ахазова, дом 8|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8613/017|2021-06-21 15:42:19|г Чебоксары, проспект Тракторостроителей, дом 1/34|ПН-ПТ 08:30-19:00, СБ 09:00-15:00, ВС выходной
8613/018|2021-08-17 12:37:17|г Чебоксары, проспект Тракторостроителей, дом 71|ПН-ПТ 08:00-19:00, СБ 08:00-16:30, ВС выходной
8613/019|2021-06-21 15:42:19|г Чебоксары,улица Университетская, дом 20 корпус 1|ПН-ПТ 08:00-18:30, СБ 08:00-14:30, ВС выходной
8613/02|2020-09-28 03:14:22|г Чебоксары,улица 50 лет Октября, дом 17 литер а|ПН-ПТ 08:00-18:30, СБ 09:00-15:00, ВС выходной
8613/0200|2021-08-17 12:37:17|Чувашская Республика - Чувашия,город Шумерля,улица Карла Маркса, зд 32|ПН-ПТ 08:00-17:30, СБ 08:00-12:00, ВС выходной
8613/021|2021-05-05 09:52:04|г Чебоксары,улица Болгарстроя, дом 9/11|ПН-ПТ 09:00-18:30, СБ-ВС выходной
8613/0212|2021-08-17 12:37:17|Чувашская Республика - Чувашия, с Порецкое,улица Ульянова, дом 36|ПН-ПТ 08:00-16:00, СБ-ВС выходной
8613/022|2021-05-05 09:52:04|г Чебоксары, проспект Тракторостроителей, зд 35А|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8613/0226|2021-08-17 12:37:17|Чувашская Республика - Чувашия,город Ядрин,улица К.Маркса, зд 20|ПН-ПТ 08:00-17:00, СБ 08:00-12:00, ВС выходной
8613/023|2021-08-17 12:37:17|г Чебоксары, проспект Московский, дом 40|ПН-ПТ 08:30-18:30, СБ 09:00-15:00, ВС выходной
8613/024|2021-12-13 14:19:27|г Чебоксары,улица Космонавта Николаева А.Г., дом 3|ПН-ПТ 08:00-19:00, СБ 08:30-16:00, ВС выходной
8613/0243|2021-05-05 09:52:04|Чувашская Республика - Чувашия,город Алатырь,улица Ленина, дом 25|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8613/0245|2021-08-17 12:37:17|Чувашская Республика - Чувашия,город Алатырь,улица Б.Хмельницкого, дом 29|ПН-ПТ 07:30-17:30, СБ 08:00-13:00, ВС выходной
8613/025|2021-05-05 09:52:04|г Чебоксары,улица Гагарина Ю., дом 27|ПН-ПТ 08:30-19:00, СБ 09:00-15:00, ВС выходной
8613/026|2021-05-05 09:52:04|г Чебоксары,улица Спиридона Михайлова, дом 1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8613/027|2021-05-05 09:52:04|г Чебоксары, проспект Максима Горького, дом 32/25|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8613/029|2021-06-21 15:42:19|г Чебоксары,улица Мате Залка, дом 11|ПН-ПТ 08:00-19:00, СБ 09:00-15:00, ВС выходной
