Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8618/0275|2021-05-12 12:42:05|Республика Удмуртская, с Алнаши, пер Пионерский, дом 3|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8618/0280|2021-06-07 13:59:10|Республика Удмуртская, с Грахово,улица Колпакова, дом 20|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8618/0284|2021-05-12 12:42:05|Республика Удмуртская, Кизнерский район , п Кизнер,улица Красная, дом 21|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8618/0288|2020-11-07 03:09:08|Республика Удмуртская, п Ува,улица Пушкина, дом 36|ПН-ПТ 08:30-18:00, СБ 08:30-12:30, ВС выходной
8618/0297|2021-05-12 12:42:05|Республика Удмуртская, с Селты,улица Юбилейная, дом 11А|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8618/0298|2021-05-12 12:42:05|Республика Удмуртская, с Сюмси,улица Советская, дом 47А|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8618/0301|2021-06-07 13:59:10|Республика Удмуртская, с Вавож,улица Интернациональная, дом 44А|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8618/0311|2020-09-28 03:14:26|г Ижевск,улица Красная, дом 105|ПН-ПТ 08:30-18:30, СБ-ВС выходной
8618/0323|2021-06-07 13:59:10|г Ижевск,улица 9 Января, дом 215|ПН-ПТ 09:00-18:00, СБ 09:30-14:00, ВС выходной
8618/042|2020-09-28 03:14:26|г Ижевск,улица Удмуртская, дом 231|ПН-ПТ 09:00-18:30, СБ-ВС выходной
8618/049|2020-09-28 03:14:26|г Ижевск,улица Азина, дом 143|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8618/058|2020-09-28 03:14:26|г Ижевск,улица Баранова, дом 79|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/059|2021-06-07 13:59:10|г Ижевск,улица Ленина, дом 6|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/06|2020-09-28 03:14:26|г Ижевск,улица Красноармейская, дом 138|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8618/066|2020-09-28 03:14:26|г Ижевск,улица Пушкинская, дом 215|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8618/072|2020-09-28 03:14:26|г Ижевск,улица Школьная, дом 39|ПН-ПТ 09:00-18:00, СБ 10:00-13:00, ВС выходной
8618/076|2021-06-07 13:59:10|г Ижевск, ш Воткинское, дом 34|ПН-ПТ 09:00-19:30, СБ 09:30-14:30, ВС выходной
8618/084|2021-06-07 13:59:10|г Ижевск,улица Удмуртская, дом 265 корпус 1|ПН-ПТ 09:00-18:30, СБ 10:00-14:00, ВС выходной
8618/086|2020-09-28 03:14:26|г Ижевск,улица Кирова, дом 5|ПН-ПТ 09:00-18:30, СБ-ВС выходной
8618/087|2020-09-28 03:14:26|г Ижевск,улица Тимирязева, дом 5А|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/088|2020-09-28 03:14:26|г Ижевск,улица Ворошилова, дом 53|ПН-ПТ 09:00-19:30, СБ 10:00-13:00, ВС выходной
8618/094|2020-09-28 03:14:26|г Ижевск,улица Кирова, дом 109, кв 109А|ПН-ПТ 09:00-19:00, СБ 09:30-14:30, ВС выходной
8618/098|2020-09-28 03:14:26|г Ижевск,улица Молодежная, дом 33|ПН-ПТ 09:00-19:00, СБ 09:00-14:00, ВС выходной
9042/0101|2021-06-21 15:42:18|г Нижний Новгород, ш Южное, дом 35|ПН-ПТ 08:30-18:30, СБ 09:00-14:00, ВС выходной
9042/0103|2021-06-07 13:59:10|г Нижний Новгород,улица Коминтерна, дом 168|ПН-ПТ 08:30-18:30, СБ 09:00-14:30, ВС выходной
9042/0110|2021-05-05 09:52:03|г Нижний Новгород,улица Октябрьская, дом 35|ПН-ПТ 09:00-18:00, СБ-ВС выходной
9042/0111|2020-09-03 16:13:45|г Нижний Новгород,улица Бекетова, дом 3Б|ПН-ПТ 08:30-18:30, СБ 09:30-13:30, ВС выходной
