Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда
PS317|2020-07-25 00:00:00|г Москва, поселение Мосрентген, поселок завода Мосрентген, дом 32|ПН выходной, ВТ-ПТ 09:00-18:30, СБ 09:00-13:45, ВС выходной|НЕТ
PS290|2020-07-26 00:00:00|г Москва, район Замоскворечье,улица Люсиновская, дом 26-28 корпус 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS320|2020-07-26 00:00:00|г Москва,улица Каховка, дом 23|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS321|2020-07-26 00:00:00|г Москва,улица Стромынка, дом 19 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS330|2020-07-26 00:00:00|г Москва,улица Кировоградская, дом 8 корпус 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS341|2020-07-26 00:00:00|г Москва, Волгоградский проспект , дом 92|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS165|2020-07-27 00:00:00|Астраханская область,город Астрахань,улица Немова, дом 34А|ПН-ПТ 08:30-18:00, СБ-ВС выходной|НЕТ
PS176|2020-07-27 00:00:00|Волгоградская область,город Волжский, проспект имени Ленина, дом 97|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной|НЕТ
PS181|2020-07-27 00:00:00|Ростовская область,город Азов,улица Кондаурова, дом 63|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ
PS184|2020-07-27 00:00:00|Ростовская область,город Шахты, пер Красный Шахтер, дом 68|ПН-ПТ 08:00-17:30, СБ 09:00-13:30, ВС выходной|НЕТ
PS208|2020-07-27 00:00:00|г Москва,улица Гиляровского, дом 39 строение 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS276|2020-07-27 00:00:00|г Москва,улица Михалковская, дом 24|ПН-ПТ 09:00-20:30, СБ 09:00-17:00, ВС выходной|НЕТ
PS282|2020-07-27 00:00:00|г Москва, Преображенское район , Преображенская пл, дом 7А строение 1|ПН 08:30-20:00, ВТ-ВС 09:00-21:00|НЕТ
PS289|2020-07-27 00:00:00|г Москва,улица Новослободская, дом 16|ПН-ВС 09:00-21:00|НЕТ
PS319|2020-07-27 00:00:00|г Москва,улица Митинская, дом 47|ПН-ПТ 09:00-20:00, СБ 09:00-17:00, ВС выходной|НЕТ
PS323|2020-07-27 00:00:00|г Москва, Щёлковское шоссе, дом 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS326|2020-07-27 00:00:00|г Москва, район Митино, 3-й Митинский пер, дом 6 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS337|2020-07-27 00:00:00|г Москва, район Аэропорт, Ленинградский проспект , дом 76 корпус 2|ПН-ПТ 08:30-20:00, СБ 09:00-17:00, ВС выходной|НЕТ
PS160|2020-07-28 00:00:00|Астраханская область,город Астрахань,улица Дзержинского, строение 59А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS199|2020-07-28 00:00:00|г Москва, Гагаринский район , Ленинский проспект , дом 75/9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS210|2020-07-28 00:00:00|г Москва,улица Бажова, дом 24 корпус 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS217|2020-07-28 00:00:00|г Москва, поселение Рязановское, поселок Знамя Октября, мкр Родники, дом 8|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS270|2020-07-28 00:00:00|г Москва, район Северное Тушино,улица Туристская, дом 19 корпус 1|ПН-ПТ 09:00-19:30, СБ 09:00-16:30, ВС выходной|НЕТ
PS285|2020-07-28 00:00:00|г Москва,город Зеленоград, район Савелки, Центральный проспект , дом 435А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS294|2020-07-28 00:00:00|г Москва, район Марьина роща,улица Сущёвский Вал, дом 71|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS310|2020-07-28 00:00:00|Ярославская область, Ярославский район , село Туношна,улица Школьная, дом 3|ПН-СР 08:00-16:00, ЧТ 08:00-15:45, ПТ-ВС выходной|НЕТ
PS311|2020-07-28 00:00:00|Ярославская область,город Ярославль,улица 6-я Железнодорожная, дом 2|ПН-ПТ 08:30-18:30, СБ 08:30-14:00, ВС выходной|НЕТ
PS315|2020-07-28 00:00:00|г Москва, проезд Дежнёва, дом 27 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS329|2020-07-28 00:00:00|г Москва,улица Гурьянова, дом 55|ПН-ПТ 08:30-19:30, СБ 09:00-16:30, ВС выходной|НЕТ
PS334|2020-07-28 00:00:00|г Москва,улица Гризодубовой, дом 4 корпус 1|ПН-ПТ 08:30-19:30, СБ 09:00-17:00, ВС выходной|НЕТ
PS342|2020-07-28 00:00:00|г Москва,улица Череповецкая, дом 20|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS343|2020-07-28 00:00:00|г Москва, Бутырский район ,улица Яблочкова, дом 21А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS173|2020-07-29 00:00:00|Волгоградская область,город Волгоград,улицаимениНиколая Отрады, д.26А|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
