Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ|Точность|Широта|Долгота
9013/0171|2021-06-07 13:59:21|Воронежская область,город Нововоронеж,улица Парковый проезд, дом 10|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной|93.1|51.31779998602244|39.21346004084378
7003/0467|2021-06-21 15:41:13|Свердловская область, Сысертский район ,город Арамиль,улица 1 Мая, дом 75А|ПН-ПТ 08:30-18:30, СБ 09:00-15:00, ВС выходной|99.18|56.68820998942863|60.83860997149657
7003/0493|2021-09-21 12:27:13|Свердловская область,город Полевской,улица Бажова, дом 11|ПН-ПТ 08:30-17:30, СБ 10:00-14:00, ВС выходной|95.92|56.44658997955108|60.15932000249592
7003/0507|2021-02-15 13:09:00|Свердловская область,город Алапаевск,улица 3 Интернационала, дом 36|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной|96.55|57.85258001547894|61.68505000960317
7003/0548|2021-02-15 13:08:56|Свердловская область,город Серов,улица Заславского, дом 35|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.0|59.60906000324016|60.57418003705058
7003/0548|2021-02-15 13:08:56|Свердловская область,город Серов,улица Заславского, дом 35|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.0|59.60906000324016|60.57418003705058
7003/0558|2021-02-15 13:08:56|Свердловская область,город Серов,улица Народная, дом 8А|ПН-ПТ 08:30-17:30, СБ-ВС выходной|95.74|59.59775000791893|60.58564002652915
7003/0560|2021-05-12 12:41:29|Свердловская область,город Кушва, пер Свердлова, дом 3|ПН-ПТ 09:00-18:00, СБ-ВС выходной|93.4|58.28262998642523|59.75695998396583
7003/0565|2021-05-12 12:42:34|Свердловская область,город Красноуральск,улица 7 Ноября, дом 53|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной|91.07|58.35567999088934|60.039579989407
7003/0571|2022-11-14 14:41:10|Свердловская область,город Каменск-Уральский,улица Олега Кошевого, дом 7|ПН выходной, ВТ-ПТ 09:30-18:15, СБ 09:30-15:00, ВС выходной|96.77|56.43351999411058|61.89175997948823
7003/0574|2021-06-07 13:58:28|Свердловская область,город Каменск-Уральский,улица Лермонтова, дом 119|ПН-ПТ 09:30-18:30, СБ-ВС выходной|96.72|56.43090002072552|61.85393001970553
7003/0579|2021-06-07 13:59:21|Свердловская область,город Каменск-Уральский,улица Каменская, влд 82А|ПН-ПТ 09:00-18:30, СБ 09:00-16:00, ВС 08:30-15:00|93.72|56.38820000755982|61.93015999250588
7003/0582|2021-02-15 13:08:58|Свердловская область,город Каменск-Уральский, проспект Победы, дом 95|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.61|56.42634001394097|61.88820001757153
7003/0588|2021-08-17 12:37:25|Свердловская область,город Каменск-Уральский,улица Алюминиевая, дом 14|ПН-ПТ 09:00-17:30, СБ 09:00-15:00, ВС выходной|96.72|56.38464000373364|61.97007000538059
7003/0589|2021-02-15 13:08:58|Свердловская область,город Каменск-Уральский, проспект Победы, дом 19|ПН-ПТ 09:00-18:30, СБ-ВС выходной|96.61|56.42063001004078|61.9188900207723
7003/0603|2021-02-15 13:08:55|Свердловская область, Пышминский район , пгт Пышма,улица Кирова, дом 19|ПН-ПТ 08:00-17:00, СБ-ВС выходной|100.0|56.94798997926898|63.24048003332712
7003/0606|2021-06-07 13:58:28|Свердловская область,город Камышлов,улица Энгельса, дом 185|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.08|56.84343001192596|62.70545996851541
7003/0626|2021-02-24 17:08:58|Свердловская область,город Асбест,улица Победы, дом 21|ПН-ПТ 09:00-18:00, СБ-ВС выходной|95.65|57.01348000998306|61.456789999016
7003/0627|2021-02-24 17:08:35|Свердловская область, пгт Малышева,улица Пионерская, дом 17|ПН-ПТ 09:00-18:00, СБ-ВС выходной|97.6|57.11461999319243|61.39589999867411
7003/0636|2021-02-24 17:08:53|Свердловская область,город Заречный,улица Бажова, дом 24|ПН-ПТ 09:00-18:30, СБ 08:30-15:00, ВС выходной|95.83|56.81255225838295|61.32063093708186
7003/0638|2021-02-24 17:08:42|Свердловская область, Сухоложский район ,город Сухой Лог,улица Горького, дом 8|ПН-ПТ 08:30-18:00, СБ 09:00-14:30, ВС выходной|99.23|56.90296998103287|62.03031996359599
7003/0650|2021-02-24 17:08:57|Свердловская область, Богдановичский район ,город Богданович,улица Партизанская, дом 19|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной|99.33|56.7692000031328|62.05283995813357
7003/0659|2021-06-21 15:42:32|Свердловская область,город Красноуфимск,улица Озерная, дом 60|ПН-ПТ 08:30-17:30, СБ 09:00-14:00, ВС выходной|96.23|56.61192000220154|57.77138996765547
7003/0681|2020-09-25 10:59:45|Свердловская область,город Первоуральск,улица Ватутина, дом 57|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.3|56.90900998046109|59.942300040248
7003/0691|2020-09-25 10:59:45|Свердловская область,город Первоуральск, проспект Космонавтов, дом 17/18|ПН-ПТ 08:30-19:00, СБ 08:30-16:00, ВС 09:30-14:30|95.48|56.91056000390583|59.93147003461209
7003/0699|2021-08-17 12:35:31|Свердловская область, Нижнесергинский район ,город Михайловск,улица Кирова, дом 16|ПН-ПТ 08:30-17:30, СБ-ВС выходной|99.29|56.44405001143181|59.1239699717257
7003/0707|2021-06-21 15:41:12|Свердловская область,город Дегтярск,улица Калинина, дом 11|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.0|56.70414000596114|60.08583996448937
7003/0712|2021-08-31 16:46:19|Свердловская область,город Ревда,улица Максима Горького, дом 21|ПН-ПТ 08:30-17:30, СБ-ВС выходной|100.0|56.80368000000004|59.90917000000007
7003/0714|2021-02-15 13:08:58|Свердловская область,город Невьянск,улица Красноармейская, дом 16|ПН-ПТ 09:00-17:30, СБ 09:00-14:30, ВС выходной|96.49|57.49062999034794|60.21012003543328
7003/0733|2021-08-31 16:47:45|Свердловская область,город Нижний Тагил,улица Попова, дом 14|ПН-ПТ 09:00-18:30, СБ 09:00-14:30, ВС выходной|96.08|57.94283002053518|60.00261001289013
7003/0736|2021-02-15 13:08:57|Свердловская область,город Нижний Тагил, проспект Вагоностроителей, дом 3|ПН-ПТ 09:30-18:30, СБ-ВС выходной|96.83|57.92115001842433|60.10476998989694
7003/0752|2021-08-31 16:46:19|Свердловская область,город Нижний Тагил,улица Октябрьской Революции, дом 15|ПН-ПТ 09:00-20:00, СБ 10:00-16:00, ВС выходной|96.92|57.90810999828767|59.98739995993088
7003/0763|2021-12-13 14:16:36|Свердловская область,город Ирбит,улица Молодой Гвардии, дом 4|ПН-ПТ 08:30-17:30, СБ-ВС выходной|96.15|57.66213999020968|63.08539998861281
7003/0783|2021-05-12 12:42:33|Свердловская область,город Тавда,улица 9 Мая, дом 6|ПН-ПТ 08:30-18:00, СБ 08:30-15:00, ВС выходной|95.24|58.04574001023812|65.2730899608103
7003/0787|2021-09-21 12:25:23|Свердловская область,город Тавда,улица 9 Января, дом 25|ПН-ПТ 08:30-17:30, СБ-ВС выходной|95.65|58.04983000180209|65.25183001777708
7003/0793|2020-09-25 10:59:46|Свердловская область,город Березовский,улица Строителей, дом 4|ПН-ПТ 08:30-19:30, СБ 09:00-15:00, ВС выходной|96.3|56.90619998933104|60.81325999498983
7003/0799|2021-05-12 12:41:29|Свердловская область,город Березовский,улица Гагарина, дом 9|ПН выходной, ВТ-ПТ 08:45-18:45, СБ 09:00-14:30, ВС выходной|96.15|56.90939999041586|60.82284000740518
7003/0806|2021-02-15 13:08:59|Свердловская область,город Верхняя Салда,улица Энгельса, дом 61|ПН-ПТ 09:00-18:30, СБ 09:30-15:00, ВС выходной|96.3|58.05055000728487|60.55844997081834
7003/0808|2021-02-15 13:08:57|Свердловская область,город Нижняя Салда,улица Ломоносова, дом 42|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.36|58.0739799831407|60.69216001811071
7003/0813|2021-05-12 12:41:29|Свердловская область,город Североуральск,улица Буденного, дом 35|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.43|60.15884001281057|59.97015997766059
7003/0817|2021-02-15 13:08:56|Свердловская область,город Североуральск,улица Мира, дом 3|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной|96.0|60.15357001691757|59.95009001342117
7003/0819|2021-05-12 12:41:29|Свердловская область,город Ивдель, проспект Комсомола, дом 30|ПН-ПТ 09:00-18:00, СБ-ВС выходной|77.65|60.69470000000007|60.41595000000007
7003/0827|2021-02-24 17:08:46|Свердловская область,город Новоуральск,улица Фурманова, дом 34|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.3|57.22423001528915|60.08165999319482
7003/0828|2021-08-17 12:37:25|Свердловская область,город Новоуральск,улица Комсомольская, дом 23|ПН-ПТ 10:00-18:30, СБ 10:00-14:30, ВС выходной|96.55|57.24923997989356|60.07355997342316
7003/0829|2021-06-07 13:58:28|Свердловская область,город Новоуральск,улица Мичурина, дом 25|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.23|57.24824999330949|60.09817996998234
7003/0832|2021-05-12 12:41:29|Свердловская область,город Новоуральск,улица Фрунзе, дом 9|ПН-ПТ 09:30-18:30, СБ-ВС выходной|96.0|57.24599999713058|60.08622997444414
7003/0837|2021-02-15 13:08:58|Свердловская область,город Качканар,улица Свердлова, дом 45|ПН выходной, ВТ-ПТ 09:00-18:30, СБ 09:00-16:00, ВС выходной|96.08|58.69454998462209|59.47071002771645
7003/0847|2021-02-15 13:08:58|Свердловская область,город Краснотурьинск,улица Ленина, дом 15|ПН-ПТ 09:30-18:30, СБ-ВС выходной|96.3|59.76424000214982|60.18755000093373
7003/0851|2021-05-12 12:41:29|Свердловская область,город Волчанск,улица Краснотурьинская, дом 15|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.55|59.93617999364443|60.0737899728463
7003/0856|2021-09-21 12:25:23|Свердловская область,город Карпинск,улица Мира, дом 50|ПН-ПТ 09:00-18:00, СБ-ВС выходной|95.65|59.76676999580431|59.99880999326652
7003/0857|2022-01-17 03:31:36|Свердловская область,город Краснотурьинск,улица Ленина, дом 39|ПН-ПТ 09:00-18:00, СБ 10:00-14:30, ВС выходной|96.3|59.76414000604495|60.20090002575932
7003/0859|2021-02-15 13:08:57|Свердловская область,город Нижняя Тура,улица 40 лет Октября, дом 6А|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.43|58.62173999595538|59.84932998188273
7003/0884|2021-02-15 13:08:57|Свердловская область,город Нижний Тагил,улица Юности, дом 16|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной|96.08|57.91025999836171|60.09350001816335
8369/022|2021-02-15 13:08:57|Ямало-Ненецкий АО,город Ноябрьск, проспект Мира, дом 76|ПН-ПТ 09:00-18:30, СБ 10:00-16:00, ВС выходной|95.56|63.20156998150125|75.44100998688538
8369/027|2022-11-14 14:41:09|Ямало-Ненецкий АО,город Ноябрьск, мкр Вынгапуровский,улица Ленина, дом 10Б|ПН выходной, ВТ-ПТ 09:30-17:30, СБ 10:00-14:30, ВС выходной|89.68|62.98317999717926|76.99469003686431
8369/030|2021-02-15 13:08:57|Ямало-Ненецкий АО,город Ноябрьск,улица Советская, дом 16А|ПН-ПТ 09:30-17:45, СБ-ВС выходной|95.83|63.18659998624892|75.44527000535524
8369/031|2021-02-15 13:08:58|Ямало-Ненецкий АО,город Муравленко,улица Ленина, дом 88|ПН-ПТ 09:00-18:30, СБ 10:00-14:30, ВС выходной|95.65|63.79667001953194|74.49256998230356
8369/035|2021-05-12 12:42:33|Ямало-Ненецкий АО,город Губкинский, мкр № 9, дом 11|ПН-ПТ 09:00-18:30, СБ-ВС выходной|94.87|64.43180998993657|76.47600998937895
8369/058|2021-06-21 15:42:32|Ямало-Ненецкий АО, Надымский район , пгт Пангоды,улица Ленина, дом 27|ПН выходной, ВТ-ПТ 09:15-18:15, СБ 09:15-15:45, ВС выходной|100.0|65.85561001946013|74.49016001750257
8369/065|2021-09-21 12:27:12|Ямало-Ненецкий АО,город Новый Уренгой,улица Таежная, дом 30А|ПН-ПТ 09:00-19:30, СБ 10:00-16:30, ВС выходной|96.0|66.07884000804222|76.66034002632853
8597/0304|2021-05-12 12:42:33|Челябинская область,город Копейск, проспект Победы, дом 30 корпус 1|ПН-ПТ 09:00-18:00, СБ-ВС выходной|91.43|55.11766001820456|61.60641996264758
8597/0305|2021-12-13 14:19:29|Челябинская область,город Копейск,улица Ленина (бывший РП Октябрьский), дом 25|ПН-ПТ 09:00-18:00, СБ-ВС выходной|86.46|55.10614998876403|61.62114000954719
8597/0317|2021-12-13 14:19:29|Челябинская область, Ашинский район ,город Миньяр,улица Кирова, дом 73|ПН-ПТ 09:00-18:00, СБ-ВС выходной|99.14|55.06946998418749|57.54615004060145
8597/0318|2021-02-15 13:08:56|Челябинская область, Ашинский район ,город Сим,улица Революции, дом 7|ПН-ПТ 08:30-17:30, СБ-ВС выходной|99.12|54.98836999991366|57.68376999426809
8597/0320|2021-06-21 15:42:32|Челябинская область, Катав-Ивановский район ,город Юрюзань,улица Советская, дом 90|ПН-ПТ 09:00-18:00, СБ-ВС выходной|99.28|54.85409999957966|58.42527002954171
8597/0323|2021-06-07 13:59:21|Челябинская область,город Усть-Катав,улица 40 лет Октября, дом 41|ПН-ПТ 08:30-17:30, СБ-ВС выходной|96.3|54.92838000642527|58.17561001431923
8597/0326|2021-05-12 12:42:32|Челябинская область,город Трехгорный,улица Мира, дом 58|ПН-ПТ 09:00-18:00, СБ-ВС выходной|95.74|54.82267000005706|58.42774000876943
8597/0334|2020-09-28 03:14:25|Челябинская область,город Магнитогорск, проспект Металлургов, дом 3|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.55|53.42191002025359|58.99713995819778
8597/0338|2020-09-28 03:14:25|Челябинская область,город Магнитогорск, проспект Металлургов, дом 19|ПН-ПТ 09:30-18:30, СБ-ВС выходной|96.61|53.42188998750498|58.98524000262154
8597/0345|2021-12-13 14:19:29|Челябинская область,город Магнитогорск, проспект Карла Маркса, дом 18|ПН-ПТ 09:00-18:00, СБ 09:30-14:00, ВС выходной|96.61|53.43304001420412|58.97775999222779
8597/0364|2020-09-28 03:14:25|Челябинская область,город Магнитогорск,улица Советская, дом 162|ПН-ПТ 09:00-18:00, СБ выходной, ВС 09:30-14:30|96.36|53.36685998522066|58.96105997216006
8597/0375|2021-06-07 13:59:21|Челябинская область,город Магнитогорск,улица Маяковского, дом 52А|ПН-ПТ 09:00-18:30, СБ-ВС выходной|96.49|53.39221000363688|59.06191999980337
8597/0399|2022-11-14 14:41:09|Челябинская область,город Кыштым,улица Возмездия, дом 39|ПН-ПТ 09:15-18:00, СБ-ВС выходной|94.73|55.73315208031458|60.57136491568428
8597/0402|2021-12-13 14:16:34|Челябинская область,город Кыштым,улица Республики, дом 8|ПН-ПТ 09:00-18:00, СБ-ВС выходной|95.83|55.71110999477614|60.54018999475062
8597/0424|2021-12-13 14:16:34|Челябинская область,город Верхний Уфалей,улица Ленина, дом 129|ПН-ПТ 08:30-17:30, СБ-ВС выходной|95.13|56.06402123507499|60.21870393686544
8597/0436|2021-05-12 12:42:32|Челябинская область,город Озерск, бульвар Луначарского, дом 17А|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.3|55.75512001558911|60.69153003426806
8597/0446|2021-09-21 12:25:22|Челябинская область,город Озерск, проспект Победы, дом 16|ПН-ПТ 09:00-18:00, СБ-ВС выходной|95.83|55.76951999951598|60.70228996719339
8597/0448|2021-05-12 12:42:32|Челябинская область,город Троицк,улица Энергетиков, дом 24|ПН-ПТ 08:30-17:30, СБ-ВС выходной|96.0|54.04534001091744|61.63017997594093
