ID точки|Адрес|Тип Пункта|Название пункта приема/выдачи|Время работы|Широта|Долгота
1105-030|город Сыктывкар,Коми респ., Пушкина ул., д. 145|Постамат|Постамат: Халва: 1105-030: Магнит Косметик|Ежедневно: 9-21|61.644475|50.819923
1105-029|город Сыктывкар,Коми респ., Первомайская ул., д. 90, к. 3|Постамат|Постамат: Халва: 1105-029: ТЦ Майский|Ежедневно: 9-20:30|61.663532|50.833452
4605-063|город Курск,Курская обл., Бойцов 9 Дивизии ул., д. 195А|Постамат|Постамат: Халва: 4605-063: Магнит Косметик|Ежедневно: 9-21|51.723137|36.135577
7802-568|город Санкт-Петербург,Ленинградская обл., линия 26-я В.О., д 7 стр 1|ПВЗ|ПВЗ: Ozon: 7802-568|Ежедневно: 9-21|59.930654|30.262304
5002-972|город ВНИИССОК,Московская обл., Дружбы ул., д. 6|ПВЗ|ПВЗ: Ozon: 5002-972|Ежедневно: 10-22|55.65884|37.196972
2412-016|город Норильск,Красноярский край, Ленинский пр-кт, д. 28, к. 2|ПВЗ|ПВЗ: PickPoint: 2412-016: ТЦ Надежда|Ежедневно: 12-19|69.35084|88.198644
5002-971|город Ногинск,Московская обл., Рогожская ул., д. 39|ПВЗ|ПВЗ: Ozon: 5002-971|Ежедневно: 10-21|55.859114|38.449519
7105-082|город Тула,Тульская обл., Арсенальная ул., д. 2А|Постамат|Постамат: PickPoint: 7105-082: ТЦ Арсенал|Ежедневно: 9-21|54.212166|37.609676
3192-021|город Губкин,Белгородская обл., Преображенская ул., д. 7|ПВЗ|ПВЗ: Ситилинк: 3192-021: ТЦ Спутник|Ежедневно: 9-21|51.277847|37.499974
5405-165|город Новосибирск,Новосибирская обл., Дуси Ковальчук ул., д. 75/3|Постамат|Постамат: PickPoint: 5405-165: ТЦ Вереница|Ежедневно: 8-20|55.05397|82.893732
5912-012|город Березники,Пермский край, Пятилетки ул., д. 50|ПВЗ|ПВЗ: Ситилинк: 5912-012|Ежедневно: 10-19:45 (обед: 14-15)|59.405164|56.807312
9902-118|город Москва,Московская обл., Миклухо-Маклая ул., д. 28А|ПВЗ|ПВЗ: Ситилинк: 9902-118: ТЦ Вау|Ежедневно: 10-21 (обед: 14-15)|55.642199|37.520491
5502-122|город Омск,Омская обл., 10 лет Октября ул., д. 113|ПВЗ|ПВЗ: Ситилинк: 5502-122: ТЦ Арбатъ|Ежедневно: 10-19:45 (обед: 13-14)|54.985772|73.405312
5502-123|город Омск,Омская обл., Челюскинцев 4-я ул., д. 66/1|ПВЗ|ПВЗ: Ситилинк: 5502-123: ТК Амурский|Ежедневно: 9-20:45 (обед: 13-14)|55.025483|73.416317
3301-015|город Владимир,Владимирская обл., Дуброва Нижняя ул., д. 13|Постамат|Постамат: PickPoint: 3301-015: ТЦ Орбита|Ежедневно: 8-22|56.106017|40.363417
5001-698|город Наро-Фоминск,Московская обл., Свободы пл., д. 4|Постамат|Постамат: PickPoint: 5001-698: Магазин Первая свежесть|Ежедневно: 9-22|55.386687|36.728904
7295-002|город Тобольск,Тюменская обл., 15 мкр., д. 30|Постамат|Постамат: Халва: 7295-002: Магнит Косметик|Ежедневно: 8:30-20:30|58.224309|68.301504
5905-101|город Пермь,Пермский край, Мира ул., д. 103|Постамат|Постамат: Халва: 5905-101: Магнит Косметик|Ежедневно: 9:30-22|57.970123|56.159427
5205-124|город Нижний Новгород,Нижегородская обл., Планетная ул., д. 35|Постамат|Постамат: Халва: 5205-124: Аптека Долголет|Ежедневно: 8-22|56.379778|43.794877
4605-064|город Курск,Курская обл., Дружбы пр-кт, д. 10|Постамат|Постамат: Халва: 4605-064: Магнит Косметик|Ежедневно: 9:30-21:30|51.741503|36.136578
5901-040|город Пермь,Пермский край, Уральская ул., д. 63, к. 5|Постамат|Постамат: PickPoint: 5901-040: ТЦ Гудвин|Пн-Сб: 10-20; Вс: 11-19|58.030113|56.301767
7805-097|город Санкт-Петербург,Ленинградская обл., Пограничника Гарькавого ул., д. 20, к. 1|Постамат|Постамат: PickPoint: 7805-097: Пятерочка|Ежедневно: 9-22|59.839732|30.147184
